MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,Foundation,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,PavedDrive,PoolQC,Fence,MiscFeature,SaleType,SaleCondition,is_attached_garage
RL,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,CBlock,GasA,TA,Y,SBrkr,TA,Y,,,,WD,Normal,Attchd
RM,Pave,,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,BrkTil,GasA,Fa,N,SBrkr,Fa,Y,,,,WD,Normal,
C (all),Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2Story,Gambrel,CompShg,BrkFace,BrkFace,None,BrkTil,GasA,TA,N,SBrkr,TA,N,,MnPrv,,WD,Normal,
RL,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,CBlock,GasA,Gd,Y,SBrkr,Gd,Y,,MnPrv,,WD,Normal,Attchd
RL,Pave,,Reg,Lvl,AllPub,Corner,Gtl,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Ex,Y,SBrkr,Gd,Y,,,,WD,Normal,Attchd
RL,Pave,,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,Hip,CompShg,BrkFace,BrkFace,None,CBlock,GasA,Gd,Y,SBrkr,Gd,Y,,,,WD,Normal,Attchd
RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,PConc,GasA,Ex,Y,SBrkr,Ex,Y,,,,WD,Normal,Attchd
RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Ex,Y,SBrkr,Gd,Y,,,,WD,Normal,BuiltIn
RL,Pave,,Reg,Lvl,AllPub,Corner,Gtl,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Ex,Y,SBrkr,TA,Y,,,,WD,Normal,Attchd
RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,Gd,Y,SBrkr,TA,Y,,,,WD,Normal,Attchd
RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,CBlock,GasA,TA,Y,SBrkr,Gd,Y,,,,WD,Abnorml,
RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Duplex,1Story,Gable,CompShg,AsbShng,Plywood,None,PConc,GasA,TA,N,FuseP,Fa,N,,,,WD,AdjLand,
RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,Ex,Y,SBrkr,TA,Y,,GdWo,,WD,Abnorml,Attchd
RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,CBlock,GasA,Gd,Y,SBrkr,TA,P,,,,WD,Normal,Attchd
RL,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,1Fam,SFoyer,Gable,CompShg,HdBoard,HdBoard,None,CBlock,GasA,Gd,Y,SBrkr,Gd,Y,,MnPrv,,WD,Normal,Attchd
RL,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,None,CBlock,GasA,TA,Y,SBrkr,TA,Y,,MnPrv,,WD,Normal,
RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,Gable,CompShg,BrkFace,Wd Sdng,None,CBlock,GasA,Ex,Y,FuseA,TA,Y,,,,WD,Normal,Attchd
RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,PConc,GasA,Ex,Y,SBrkr,Ex,Y,,,,WD,Normal,Attchd
RL,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Ex,Y,SBrkr,Gd,Y,,,,WD,Abnorml,Attchd
FV,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Ex,Y,SBrkr,Gd,Y,,,,WD,Normal,Attchd
RM,Pave,,Reg,Lvl,AllPub,Inside,Gtl,2fmCon,2Story,Gable,CompShg,MetalSd,MetalSd,None,BrkTil,GasA,Gd,Y,SBrkr,TA,N,,,,New,Partial,
RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,CBlock,GasA,Ex,Y,SBrkr,TA,Y,,MnPrv,,WD,Normal,Attchd
RL,Pave,,IR2,Lvl,AllPub,Corner,Gtl,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Gd,Y,SBrkr,TA,Y,,,,WD,Normal,Attchd
RM,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,PConc,GasA,TA,Y,SBrkr,TA,Y,,MnPrv,Shed,WD,Normal,
RM,Grvl,,IR2,Bnk,AllPub,Corner,Mod,Duplex,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,TA,N,SBrkr,TA,Y,,,,WD,Normal,
RL,Pave,,IR1,Low,AllPub,Inside,Gtl,1Fam,1Story,Gable,WdShngl,WdShing,Wd Shng,None,CBlock,GasA,Gd,Y,SBrkr,Gd,Y,,,,WD,Normal,Attchd
RL,Pave,,Reg,Bnk,AllPub,Inside,Mod,1Fam,SLvl,Gable,CompShg,MetalSd,MetalSd,None,CBlock,GasA,TA,Y,SBrkr,TA,Y,,MnPrv,,WD,Normal,
RL,Pave,,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,Gable,CompShg,HdBoard,Plywood,BrkFace,CBlock,GasA,Gd,Y,SBrkr,TA,Y,,,,WD,Normal,Attchd
FV,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Twnhs,2Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,PConc,GasA,Ex,Y,SBrkr,Gd,Y,,,,WD,Abnorml,Attchd
RL,Pave,,IR1,Lvl,AllPub,Corner,Gtl,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Ex,Y,SBrkr,Gd,Y,,,,WD,Normal,Attchd
RL,Pave,,IR2,HLS,AllPub,CulDSac,Gtl,1Fam,2Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Ex,Y,SBrkr,Gd,Y,,,,New,Partial,BuiltIn
RL,Pave,,Reg,Bnk,AllPub,Inside,Gtl,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,CBlock,GasA,Ex,Y,SBrkr,TA,Y,,MnPrv,,WD,Normal,
RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Ex,Y,SBrkr,Gd,Y,,,,New,Partial,
RM,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2.5Unf,Gable,CompShg,MetalSd,MetalSd,None,BrkTil,GasA,TA,N,SBrkr,Fa,N,,,,WD,Normal,
RL,Pave,,IR1,Lvl,AllPub,Inside,Gtl,TwnhsE,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Ex,Y,SBrkr,Gd,Y,,,,WD,Normal,Attchd
RM,Pave,,IR1,Bnk,AllPub,Inside,Gtl,1Fam,2Story,Gable,CompShg,Stucco,Stucco,None,BrkTil,GasA,Gd,Y,SBrkr,TA,Y,,GdPrv,,WD,Normal,
RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Ex,Y,SBrkr,Gd,Y,,GdPrv,,WD,Normal,Attchd
RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Ex,Y,SBrkr,Gd,Y,,,,WD,Normal,BuiltIn
RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,Gable,CompShg,Plywood,Plywood,BrkFace,CBlock,GasA,TA,Y,SBrkr,TA,Y,,,,WD,Normal,Attchd
RL,Pave,,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Ex,Y,SBrkr,Gd,Y,,,,WD,Normal,Attchd
RM,Pave,,Reg,Lvl,AllPub,Corner,Gtl,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,CBlock,GasA,TA,Y,SBrkr,TA,Y,,,,WD,Normal,Attchd
RL,Pave,,Reg,Lvl,AllPub,Corner,Gtl,1Fam,1.5Fin,Gable,CompShg,BrkFace,AsbShng,None,CBlock,GasW,TA,Y,SBrkr,TA,Y,,,,WD,Normal,Attchd
RL,Pave,,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,Gable,CompShg,Plywood,Plywood,BrkFace,CBlock,GasA,Ex,Y,SBrkr,TA,Y,,,,WD,Normal,Attchd
RL,Pave,,Reg,Lvl,AllPub,Corner,Gtl,1Fam,1Story,Gable,CompShg,HdBoard,Plywood,None,CBlock,GasA,TA,Y,SBrkr,TA,Y,,,,WD,Normal,
RL,Pave,,IR1,Lvl,AllPub,Corner,Gtl,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Gd,Y,SBrkr,TA,Y,,,,WD,Normal,Attchd
RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,Gd,Y,SBrkr,TA,Y,,GdWo,,WD,Normal,Attchd
RM,Pave,,Reg,Lvl,AllPub,Corner,Gtl,1Fam,2Story,Gambrel,CompShg,VinylSd,VinylSd,None,CBlock,GasA,Gd,N,SBrkr,TA,Y,,,,WD,Normal,
RM,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Twnhs,SLvl,Gable,CompShg,CemntBd,CmentBd,None,CBlock,GasA,TA,Y,SBrkr,TA,Y,,GdWo,,WD,Normal,BuiltIn
RL,Pave,,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,CBlock,GasA,Ex,Y,FuseA,TA,Y,,,,WD,Normal,
RM,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,TA,Y,SBrkr,TA,Y,,MnPrv,,WD,Normal,
RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Duplex,1Story,Hip,CompShg,HdBoard,HdBoard,None,CBlock,GasA,TA,N,SBrkr,TA,Y,,,,WD,Normal,
RM,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,PConc,GasA,Gd,Y,SBrkr,TA,Y,,MnPrv,,WD,Normal,
RL,Pave,,Reg,Lvl,AllPub,Corner,Gtl,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,CBlock,GasA,TA,Y,SBrkr,Gd,Y,,,,WD,Normal,Attchd
RM,Pave,,Reg,Lvl,AllPub,FR2,Gtl,TwnhsE,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Ex,Y,SBrkr,TA,Y,,,,WD,Normal,Attchd
RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Ex,Y,SBrkr,Gd,Y,,,,WD,Normal,Attchd
RL,Pave,,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,BrkCmn,CBlock,GasA,Gd,Y,SBrkr,TA,Y,,,,COD,Normal,
RL,Pave,,IR1,Lvl,AllPub,Inside,Gtl,1Fam,SLvl,Gable,CompShg,HdBoard,HdBoard,BrkFace,PConc,GasA,Gd,Y,SBrkr,TA,Y,,,Shed,WD,Normal,BuiltIn
RL,Pave,,Reg,Lvl,AllPub,Corner,Gtl,1Fam,2Story,Hip,CompShg,HdBoard,HdBoard,BrkFace,CBlock,GasA,Ex,Y,SBrkr,Gd,Y,,,,WD,Normal,Attchd
RL,Pave,,IR2,Lvl,AllPub,Inside,Gtl,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Ex,Y,SBrkr,Gd,Y,,,,WD,Normal,BuiltIn
FV,Pave,Pave,Reg,Lvl,AllPub,Corner,Gtl,TwnhsE,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Ex,Y,SBrkr,Gd,Y,,,,New,Partial,
C (all),Pave,,IR1,Lvl,AllPub,Corner,Gtl,1Fam,1.5Fin,Hip,CompShg,Plywood,Plywood,None,CBlock,GasA,TA,N,SBrkr,Fa,N,,MnPrv,,ConLD,Abnorml,
RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Ex,Y,SBrkr,TA,Y,,,,WD,Normal,
RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,Gable,CompShg,BrkFace,Wd Sdng,None,Slab,GasA,TA,Y,FuseA,TA,Y,,,,WD,Normal,
RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,BrkCmn,CBlock,GasA,TA,Y,SBrkr,TA,Y,,GdWo,,WD,Abnorml,Attchd
RL,Pave,Grvl,IR1,HLS,AllPub,Inside,Gtl,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,BrkTil,GasA,Ex,Y,SBrkr,TA,Y,,,,WD,Normal,
C (all),Pave,,Reg,Lvl,AllPub,Corner,Gtl,2fmCon,2.5Unf,Hip,CompShg,MetalSd,MetalSd,None,BrkTil,GasW,Ex,N,SBrkr,TA,Y,,,,WD,Normal,
RL,Pave,,IR1,Lvl,AllPub,Inside,Gtl,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Ex,Y,SBrkr,Gd,Y,,,,WD,Normal,Attchd
RL,Pave,,IR2,Lvl,AllPub,Corner,Gtl,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Gd,Y,SBrkr,TA,Y,,,Shed,WD,Normal,BuiltIn
RL,Pave,,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Ex,Y,SBrkr,Gd,Y,,,,WD,Normal,Attchd
RL,Pave,,Reg,HLS,AllPub,Inside,Gtl,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,BrkFace,CBlock,GasA,TA,Y,FuseF,TA,P,,,,WD,Normal,Attchd
RL,Pave,,Reg,Lvl,AllPub,Corner,Gtl,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,BrkTil,GasA,Fa,N,SBrkr,TA,Y,,,Shed,COD,Abnorml,Basment
RL,Pave,,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,Gable,CompShg,Plywood,Plywood,None,CBlock,GasA,Fa,Y,SBrkr,TA,Y,,,Shed,WD,Normal,
RL,Pave,,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,Gable,CompShg,Plywood,Plywood,BrkFace,PConc,GasA,Gd,Y,SBrkr,Gd,Y,,,,WD,Normal,Attchd
RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,CBlock,GasA,TA,Y,SBrkr,Gd,Y,,,,WD,Normal,Attchd
RL,Pave,,Reg,Bnk,AllPub,Inside,Gtl,Duplex,1Story,Gable,CompShg,HdBoard,HdBoard,None,Slab,GasA,TA,Y,SBrkr,TA,Y,,,,WD,Alloca,Attchd
RL,Pave,,IR1,Lvl,AllPub,Corner,Gtl,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Ex,Y,SBrkr,Gd,Y,,,,WD,Normal,Attchd
RM,Pave,,Reg,Lvl,AllPub,Corner,Gtl,1Fam,1.5Fin,Gable,CompShg,Stucco,Stucco,BrkFace,PConc,GasA,Ex,Y,FuseF,TA,Y,,,,WD,Normal,
FV,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Ex,Y,SBrkr,Gd,Y,,,,WD,Normal,Attchd
RM,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,Mansard,CompShg,VinylSd,VinylSd,None,BrkTil,GasA,Gd,Y,SBrkr,TA,N,,,Shed,WD,Normal,
RM,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,CBlock,GasA,Ex,Y,SBrkr,TA,Y,,,,WD,Partial,
RM,Pave,,Reg,Lvl,AllPub,Corner,Gtl,1Fam,1.5Fin,Gable,CompShg,CemntBd,CmentBd,None,CBlock,GasW,TA,N,FuseF,Fa,N,,,,WD,Normal,
RL,Pave,,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,Hip,CompShg,Plywood,Plywood,BrkFace,CBlock,GasA,Ex,Y,SBrkr,TA,Y,,MnPrv,,COD,Normal,Attchd
RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,Gd,Y,SBrkr,TA,Y,,,,WD,Normal,Attchd
RL,Pave,,IR1,Lvl,AllPub,Inside,Gtl,1Fam,SLvl,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Ex,Y,SBrkr,TA,Y,,,,WD,Normal,BuiltIn
RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Ex,Y,SBrkr,Ex,Y,,,,New,Partial,BuiltIn
RL,Pave,,Reg,Bnk,AllPub,Corner,Gtl,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,TA,Y,SBrkr,Gd,Y,,MnPrv,,COD,Abnorml,Basment
RL,Pave,,IR1,Lvl,AllPub,Inside,Mod,1Fam,2Story,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,Ex,Y,SBrkr,Gd,Y,,MnPrv,,WD,Normal,
FV,Pave,Pave,Reg,Lvl,AllPub,Corner,Gtl,TwnhsE,2Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,PConc,GasA,Gd,Y,SBrkr,TA,Y,,,,WD,Normal,
RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,TA,Y,SBrkr,TA,Y,,,,WD,Normal,Attchd
RL,Pave,,Reg,Lvl,AllPub,Corner,Gtl,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Gd,Y,SBrkr,TA,Y,,,,New,Partial,Attchd
RL,Pave,,Reg,Lvl,AllPub,Corner,Gtl,1Fam,2Story,Hip,CompShg,Plywood,Plywood,None,PConc,GasA,Gd,Y,SBrkr,Gd,Y,,,,WD,Normal,Attchd
RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Ex,Y,SBrkr,Gd,Y,,,,New,Partial,Attchd
RL,Pave,,IR1,Low,AllPub,CulDSac,Sev,1Fam,SLvl,Flat,Metal,Plywood,Plywood,None,CBlock,GasA,Ex,Y,SBrkr,TA,Y,,,,WD,Normal,Attchd
RM,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1.5Fin,Gable,CompShg,AsbShng,AsbShng,None,PConc,GasA,Gd,Y,SBrkr,TA,P,,MnPrv,,WD,Normal,
RL,Pave,,Reg,Lvl,AllPub,Corner,Gtl,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,CBlock,GasA,Gd,Y,SBrkr,TA,Y,,,,WD,Normal,Attchd
RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,TwnhsE,1Story,Gable,CompShg,Plywood,Plywood,None,PConc,GasA,Ex,Y,SBrkr,Gd,Y,,,,WD,Normal,Attchd
RL,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,CBlock,GasA,TA,Y,SBrkr,TA,Y,,,,WD,Normal,Attchd
